name,lat,lon_e,diameter_km,body,catalogue_scope
Bathsheba,-15.057,49.451,32.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Mu Guiying,41.181,81.035,32.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Munter,-15.287,39.338,32.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Deledda,76.0,127.5,32.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Sullivan,-1.39,110.873,32.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Gwynn,9.712,37.205,32.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Simonenko,-26.864,97.622,31.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Deloria,-32.02,97.126,31.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Carr,-24.05,295.664,31.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Leonard,-73.848,185.178,31.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Erxleben,-50.854,39.404,31.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Jex-Blake,65.369,169.276,31.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Wen Shu,-4.982,303.676,31.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Vacarescu,-62.957,199.794,31.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Ichikawa,-61.583,156.322,31.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Nadira,44.13,201.526,31.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Aurelia,20.262,331.812,31.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bassi,-18.96,64.737,31.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Taglioni,41.714,122.578,31.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Godiva,-56.137,251.603,30.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Blackburne,11.009,183.895,30.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Medhavi,-19.35,40.564,30.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
O'Connor,-25.963,143.89,30.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Duse,-82.5,358.0,30.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Peck,-28.912,294.252,30.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Romanskaya,23.221,178.441,30.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Fossey,2.016,188.722,30.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Goncharova,-63.002,97.737,30.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Tseraskaya,28.635,79.248,30.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Adivar,8.905,76.201,30.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Winnemucca,-15.359,121.061,30.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Hwangcini,6.297,141.753,30.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Osipenko,71.0,321.0,30.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bugoslavskaya,-23.006,300.416,29.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Rudneva,78.428,174.723,29.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Laurencin,-15.36,46.542,29.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Pena,-23.62,190.647,29.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Badarzewska,-22.572,137.202,29.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
