geophysical_review_rank,review_tier,candidate_id,name,lon,lat,diameter_km,followup_score,rank,data_quality,domain,tid_artifact_risk,tid_direct_fraction,gravity_bouguer_ring_score,gravity_freeair_ring_score,gravity_consensus_percentile,magnetic_ring_score,magnetic_ring_score_stratified_percentile,sediment_ring_score,geology_independence,geology_boundary_coincidence,geology_boundary_crossings,geology_nearby_types
37,C_morphology,arc_0424,#418,10.943592249950786,39.1200244502714,31.657926120364156,0.813895716131641,8.0,1.0,ocean,0.0,1.0,0.0619307350228469,0.09736585520317,0.5,0.0749136159132864,0.5,0.0,1.0,0.0,0.0,
38,C_morphology,arc_1250,#1247,-80.14544009079209,17.367701628386968,126.08653508741278,0.8089099828805993,11.0,1.0,ocean,0.2816184729462979,0.271530414356341,0.3433717323021399,0.5531284369299607,0.7142857142857143,0.4440571533993736,0.8163265306122449,0.3442230968847856,1.0,0.0,0.0,oceanic back-arc basin;ophiolite complex
39,C_morphology,arc_0235,#235,-121.50620942410876,43.25163658103335,36.27408151128864,0.8071366684281834,12.0,1.0,land,0.0,0.0,0.182528644653008,0.2078874392264933,0.531496062992126,0.1661180147161856,0.4881889763779528,,0.7999313220300854,0.2000686779699145,2.0,volcanic arc;wide rift
40,C_morphology,arc_0037,#013,23.27613624325525,-25.611038226231305,76.83006933609774,0.8024859147939911,15.0,1.0,land,0.0,0.0,0.2335882720964885,0.2565579070956458,0.1327433628318584,0.3058754834216619,0.48672566371681414,,1.0,0.0,0.0,
41,C_morphology,arc_0308,#317,9.098837353204358,18.9295984968038,20.00066121992998,0.8017539988823941,16.0,1.0,land,0.0,0.0,0.0330138824795208,0.0300746333939135,0.1774193548387097,0.0176196123602006,0.016129032258064516,,1.0,0.0,0.0,
42,C_morphology,arc_1031,#1030,-65.34539600812306,-37.24096402574239,24.61150581458715,0.8015618718561752,17.0,1.0,land,0.0,0.0,0.0629258873777403,0.064444524951999,0.467741935483871,0.044921129527831,0.3951612903225806,,1.0,0.0,0.0,
43,C_morphology,arc_0284,#283,-46.5607069526764,-21.907005077503783,32.648968078808245,0.797286418059036,21.0,1.0,land,0.0,0.0,0.1414654331552009,0.1724339949737265,0.3700787401574803,0.1096258384344928,0.25196850393700787,,1.0,0.0,0.0,
44,C_morphology,arc_0859,#857,105.40394354507306,16.62786480388618,90.8437549611776,0.7872615299730322,24.0,1.0,land,0.0,0.0,0.2903388394008508,0.296492209545387,0.2755102040816326,0.3583835083182434,0.6020408163265306,,1.0,0.0,0.0,orogenic belt;volcanic arc
45,C_morphology,arc_1234,#1234,-58.303640973357226,-8.508975093534417,24.67752252818377,0.7871870444672135,25.0,1.0,land,0.0,0.0,0.0337664722306755,0.0259608819243188,0.15322580645161288,0.0356127327508394,0.20161290322580644,,1.0,0.0,0.0,
46,C_morphology,arc_0274,#273,-43.23011738139584,-57.40894369657959,632.8632167516721,0.7852216984319065,27.0,1.0,ocean,0.281938050479286,0.746661868839397,0.301602425079438,0.4222798042956506,0.4551282051282051,0.2707207054559421,0.1794871794871795,0.36927807364122,0.9325255532912452,0.0674744467087547,4.0,accretionary complex;oceanic back-arc basin;volcanic arc
