candidate_id,null_count,null_p_gravity_bouguer_ring_score,null_p_gravity_freeair_ring_score,null_p_magnetic_ring_score,null_p_tid_artifact_risk,observed_gravity_bouguer_ring_score,observed_gravity_freeair_ring_score,observed_magnetic_ring_score,observed_tid_artifact_risk
arc_0044,19,0.65,0.05,0.05,1.0,0.31276535360341606,0.6186984818697961,0.7533579438442218,0.0
arc_0045,19,0.15,0.05,0.1,1.0,0.4063733668713299,0.5114701088131236,0.608133997307494,0.1766691178047416
arc_0046,19,0.1,0.05,0.4,1.0,0.4312681549316309,0.5622699932581152,0.33472311200920185,0.0
arc_0047,19,0.75,0.35,0.15,1.0,0.2824371346577509,0.3352713118357963,0.4495325906329921,0.0
arc_0048,19,0.4,0.8,1.0,0.85,0.3359874363081009,0.29202607396300995,0.23971877795860402,0.23903287428017064
arc_0049,19,0.45,0.35,1.0,0.75,0.2899285306274224,0.3023189128515351,0.17637811646854862,0.31473819550438864
arc_0050,19,0.05,0.1,0.05,0.45,0.39641449484049907,0.4115313890514851,0.5888086089729376,0.0035404341265346767
arc_0051,19,0.5,0.4,0.55,1.0,0.3044019861167596,0.309694280155265,0.3117950679953436,0.0
arc_0052,19,0.15,0.2,0.75,1.0,0.42085918909042386,0.41183550431810073,0.2697045953890129,0.0
arc_0053,19,0.3,0.3,0.6,0.95,0.42398731316720567,0.4376748523120427,0.29495271568150594,0.16365263095250415
arc_0054,19,0.6,0.65,0.4,0.7,0.30308303881183063,0.2863708316414389,0.31866025970648826,0.39100388718422263
arc_0055,19,0.55,0.35,0.4,0.85,0.2877887339895202,0.30199811944174143,0.2906224348746793,0.26840695838434714
arc_0056,19,0.1,0.65,0.4,1.0,0.12931813628679342,0.07049097524897159,0.06796019482432403,0.0
arc_0057,19,0.4,0.45,0.2,1.0,0.22869783946287625,0.283304748584792,0.34695370303306017,0.0
arc_0058,19,0.15,0.05,0.45,0.85,0.5538734630996116,0.6091987023515649,0.3430682827999737,0.16420657632982485
arc_0059,19,0.15,0.05,0.6,0.55,0.47380561289477274,0.47773238785042565,0.29676349948958874,0.41169615200863
arc_0060,19,0.1,0.05,0.4,0.1,0.4375012470341493,0.605567382862437,0.3409521189856545,0.4724755252937725
arc_0061,19,0.1,0.05,0.3,0.85,0.3841984138697453,0.4490082512318175,0.3611302473821524,0.15558548761572075
arc_0062,19,0.25,0.05,0.85,0.9,0.315690931405916,0.37830562025608555,0.26189185230300005,0.13575373323946852
arc_0063,19,0.3,0.1,0.2,0.8,0.37757016118628317,0.48117227071354485,0.4461987485296117,0.16002615396723574
arc_0064,19,0.25,0.4,0.25,0.55,0.360382910816377,0.3296939888334354,0.35531835240503706,0.2060889422004252
arc_0065,19,0.85,0.5,1.0,0.75,0.2245342223161663,0.3066223362370512,0.24530105214837644,0.19957051878458293
arc_0066,19,0.4,0.15,0.55,0.9,0.28591771017504,0.4007041940171416,0.38000349153087576,0.43552744699750795
arc_0067,19,0.1,0.15,0.7,0.25,0.3489520123010549,0.3194171256256427,0.2788800596271407,0.29870698036140036
arc_0068,19,0.75,0.75,0.65,0.7,0.22282710820097265,0.24376690807051354,0.2513322853476556,0.19586411724226588
arc_0069,19,0.8,0.35,0.15,0.8,0.22900108483272494,0.2874841910258573,0.43364543122562715,0.23349958238304505
arc_0070,19,0.1,0.1,0.65,0.45,0.4419656843620133,0.5868428277613705,0.2950278463750211,0.22826569886201958
arc_0071,19,0.05,0.1,0.8,0.25,0.584791510077775,0.46522373233061287,0.2186748286567765,0.24683263473018457
arc_0072,19,0.25,0.1,0.55,0.7,0.3640937921215971,0.44304468528130053,0.35343200129412805,0.15831391446614995
arc_0073,19,0.15,0.1,0.4,0.4,0.38004672760126484,0.5387615492303508,0.32089967779463574,0.21045000164368077
arc_0074,19,0.85,0.1,0.05,0.95,0.2472264230470575,0.5053937020416666,0.6199179348248381,0.09398835495163843
arc_0075,19,0.1,0.1,1.0,1.0,0.4156200524650391,0.48497885395417917,0.17244381688033295,0.11142830924523972
arc_0076,19,0.1,0.2,0.7,0.45,0.4495456237231087,0.42549531103968175,0.304275913413917,0.19197000809465994
arc_0077,19,0.2,0.05,0.25,0.2,0.3486550877835761,0.5142431047056044,0.39338144534689923,0.2362795263364916
arc_0078,19,0.15,0.1,0.35,0.5,0.34783817013068363,0.42715196585736565,0.4337584962792933,0.2170687565580238
arc_0079,19,0.2,0.1,0.6,0.75,0.39095720304292797,0.42603762062903106,0.33015253888414436,0.16494027843289813
arc_0080,19,0.55,0.15,0.65,1.0,0.28827437723042804,0.4047954040232843,0.28510913507109004,0.13709276652443092
