structure_review_rank,structure_id,representative_candidate_id,representative_name,lon,lat,radius_km,diameter_km,member_count,member_candidate_ids,radius_min_km,radius_max_km,followup_score,review_tier,domain,geology_independence,geology_boundary_coincidence,geology_nearby_types,tid_artifact_risk,active_fault_coverage,nearest_active_fault_km,nearest_active_fault_name,nearest_active_fault_slip_type,fault_length_within_radius_km,fault_intersects_candidate,fault_search_degrees,active_fault_proximity_ratio,fault_control_flag
39,structure_0039,arc_1081,#1079,29.61732831735361,-25.561277851233275,23.302417916921737,46.604835833843474,1,arc_1081,23.302417916921737,23.302417916921737,0.773419543837011,C_morphology,land,1.0,0.0,,0.0,1,410.5966273123773,,Normal,0.0,0,5,17.620344325479223,no_mapped_active_fault_within_radius
40,structure_0040,arc_0145,#147,24.90570897107102,21.91519576076613,12.532542534166012,25.065085068332024,1,arc_0145,12.532542534166012,12.532542534166012,0.7727170243982735,C_morphology,land,1.0,0.0,,0.0,1,759.2600264373516,Kalabsha Fault,Strike-Slip,0.0,0,10,60.583079959032204,no_mapped_active_fault_within_radius
41,structure_0041,arc_0795,#789,131.6253270694545,-29.758999127292764,45.59274261378137,91.18548522756274,1,arc_0795,45.59274261378137,45.59274261378137,0.7723501196093109,A_cross_layer,land,0.7955133379950964,0.2044866620049036,shield,0.0,1,2.5402430391265893,Maralinga Scarp,Reverse,51.540047089046865,1,2,0.05571595156371986,intersects_active_fault
42,structure_0042,arc_0445,#440,149.21688808088481,18.479201570217917,170.90464315787696,341.8092863157539,1,arc_0445,170.90464315787696,170.90464315787696,0.7717603761343628,B_gravity_supported,ocean,0.9306180900424836,0.0693819099575164,accretionary complex;oceanic crust,0.2955229790563644,1,147.77716126313987,,Subduction_Thrust,146.48482439656757,1,2,0.8646761055322963,intersects_active_fault
43,structure_0043,arc_0687,#670,14.709196100985366,49.69813380055884,127.19062287868256,254.38124575736512,1,arc_0687,127.19062287868256,127.19062287868256,0.7712053900434495,A_cross_layer,land,0.9298414477267348,0.0701585522732652,accretionary complex;foredeep basin;orogenic belt;volcanic arc,0.0,1,144.8912316861728,,Sinistral,0.0,0,2,1.139165988866754,no_mapped_active_fault_within_radius
44,structure_0044,arc_0769,#763,175.35177611700658,49.133406946686065,142.46175298448912,284.92350596897825,1,arc_0769,142.46175298448912,142.46175298448912,0.7692194231011099,C_morphology,ocean,1.0,0.0,,0.1926394386001826,1,215.62654991554408,,Subduction_Thrust,0.0,0,2,1.513575015035937,no_mapped_active_fault_within_radius
45,structure_0045,arc_0761,#755,-172.72763549696515,15.849786342524013,348.6671221704866,697.3342443409732,1,arc_0761,348.6671221704866,348.6671221704866,0.7686614057708168,C_morphology,ocean,1.0,0.0,,0.2993260075213078,1,1823.209694238464,,Normal,0.0,0,20,5.229084069896832,no_mapped_active_fault_within_radius
46,structure_0046,arc_0281,#280,163.75890426403328,3.8051307203365288,693.5715178459036,1387.1430356918072,1,arc_0281,693.5715178459036,693.5715178459036,0.7675144339203854,C_morphology,ocean,1.0,0.0,,0.3373566077319651,1,1328.5901883540835,,Subduction_Thrust,0.0,0,10,1.9155777798956086,no_mapped_active_fault_within_radius
47,structure_0047,arc_0480,#464,117.99001716248677,-6.380680044698098,148.8680429558295,297.736085911659,1,arc_0480,148.8680429558295,148.8680429558295,0.767270930299639,C_morphology,ocean,0.9131534398649472,0.0868465601350527,continental back-arc basin;volcanic arc,0.4665345498679084,1,140.375671118287,,Dextral,98.45564288838312,1,2,0.9429536946350381,intersects_active_fault
48,structure_0048,arc_0981,#980,116.627147447987,36.130866054834776,18.53339592558209,37.06679185116418,1,arc_0981,18.53339592558209,18.53339592558209,0.7663945587179721,C_morphology,land,1.0,0.0,,0.0,1,347.85830826594804,,Sinistral,0.0,0,5,18.769269790745195,no_mapped_active_fault_within_radius
49,structure_0049,arc_0472,#465,45.21196245121243,-24.12669146429301,158.32688085737882,316.65376171475765,1,arc_0472,158.32688085737882,158.32688085737882,0.766382191002769,C_morphology,mixed,0.9607435082999796,0.0392564917000203,oceanic crust;orogenic belt;shield,0.2566170011996004,1,690.6235113155757,,Normal,0.0,0,10,4.362010465788755,no_mapped_active_fault_within_radius
50,structure_0050,arc_0278,#277,154.42462576519705,24.24377228935609,192.59207880963064,385.18415761926127,1,arc_0278,192.59207880963064,192.59207880963064,0.7660393443258443,A_cross_layer,ocean,1.0,0.0,,0.2332750625000733,1,844.4739732539318,,Subduction_Thrust,0.0,0,10,4.384780404643016,no_mapped_active_fault_within_radius
51,structure_0051,arc_0351,#339,-9.428431818746475,54.097469036050676,19.448653834727615,38.89730766945523,1,arc_0351,19.448653834727615,19.448653834727615,0.7654897534582721,A_cross_layer,land,0.7940772116831367,0.2059227883168633,craton;orogenic belt,0.0871717846016911,1,1222.1323860341147,,Sinistral_Transform,0.0,0,10,62.838919157061085,no_mapped_active_fault_within_radius
52,structure_0052,arc_0674,#657,150.4992834718463,-31.13624257310829,78.83745720347297,157.67491440694593,1,arc_0674,78.83745720347297,78.83745720347297,0.764737408691644,A_cross_layer,land,0.9595320199959124,0.0404679800040876,orogenic belt;volcanic arc,0.0,1,200.84030040564224,Maitland Scarp,Reverse,0.0,0,2,2.54752382344461,no_mapped_active_fault_within_radius
53,structure_0053,arc_0767,#761,134.30236869459742,20.03907203931471,568.6036152400641,1137.2072304801281,1,arc_0767,568.6036152400641,568.6036152400641,0.7647044104130603,C_morphology,ocean,0.8336077683897657,0.1663922316102342,oceanic back-arc basin;oceanic crust;volcanic arc,0.3197137251896159,1,844.4981710813679,,Subduction_Thrust,0.0,0,10,1.485214213287795,no_mapped_active_fault_within_radius
54,structure_0054,arc_0443,#437,161.8936049565998,13.115142478572242,94.15806916264002,188.31613832528004,1,arc_0443,94.15806916264002,94.15806916264002,0.7645155823205931,A_cross_layer,ocean,1.0,0.0,,0.1915724260850022,1,1557.6614384566533,,Subduction_Thrust,0.0,0,20,16.54304779515064,no_mapped_active_fault_within_radius
55,structure_0055,arc_0155,#157,86.05595504939276,-13.296604937262664,253.07515526837844,506.1503105367569,1,arc_0155,253.07515526837844,253.07515526837844,0.7641009775496619,A_cross_layer,ocean,1.0,0.0,,0.2018649738363815,1,1026.5642680978615,,Subduction_Thrust,0.0,0,10,4.05636130899227,no_mapped_active_fault_within_radius
56,structure_0056,arc_0440,#434,168.95212513548734,24.618946025290803,134.43870881874457,268.87741763748915,1,arc_0440,134.43870881874457,134.43870881874457,0.7639848801862854,C_morphology,ocean,1.0,0.0,,0.167452522895286,1,2734.2764048638605,,Subduction_Thrust,0.0,0,20,20.338460766908412,no_mapped_active_fault_within_radius
57,structure_0057,arc_0215,#216,27.071938675336696,-32.20557521444114,17.914561696475193,35.829123392950386,1,arc_0215,17.914561696475193,17.914561696475193,0.7628793782448161,C_morphology,land,1.0,0.0,,0.0,1,317.10229980732174,,Sinistral_Transform,0.0,0,5,17.700812622712043,no_mapped_active_fault_within_radius
58,structure_0058,arc_0650,#633,-31.990124312949263,-58.16040644895091,377.5000884152514,755.0001768305028,3,arc_0275;arc_0276;arc_0650,352.3222762147798,491.0704375802875,0.762146765404262,C_morphology,ocean,0.861028079127028,0.138971920872972,accretionary complex;oceanic back-arc basin;oceanic crust;volcanic arc,0.3678238435298786,1,117.21664899421594,,Spreading_Ridge,405.6330346384888,1,2,0.310507606730087,intersects_active_fault
