replicate,fault_intersection_fraction,median_log1p_fault_proximity_ratio
388,0.125,1.7082946581608645
389,0.15625,1.9357770470044708
390,0.1875,1.9616687790305196
391,0.21875,1.6564879681737976
392,0.21875,1.9253097136250295
393,0.125,2.3943972087646044
394,0.15625,2.125486649818198
395,0.125,2.0845145470620707
396,0.15625,1.92086654440413
397,0.25,1.7134945906945929
398,0.1875,1.4183294431759685
399,0.15625,1.8843735140136735
400,0.15625,1.960719707753818
401,0.03125,2.0676416996079134
402,0.09375,1.948014355159041
403,0.1875,2.259807380233453
404,0.21875,1.8408100551153952
405,0.21875,2.34499235597039
406,0.15625,2.0490701210103657
407,0.1875,2.044576922412693
408,0.125,2.3411856691307213
409,0.34375,1.4281848565203275
410,0.15625,1.9764228073023347
411,0.09375,2.1409457864889228
412,0.15625,2.035650873248512
413,0.28125,1.4110833117944157
414,0.125,2.1066792086493646
415,0.125,1.528369438501063
416,0.1875,1.5411417090132327
417,0.125,2.3162239153943087
418,0.25,1.4714698516840903
419,0.125,2.1702994569767164
420,0.09375,1.8879678591984352
421,0.09375,1.8938953250244497
422,0.15625,1.9687151506122178
423,0.125,1.6896943585313704
424,0.1875,1.9215824534719936
425,0.21875,1.993335947685968
426,0.21875,1.6142901419257922
427,0.21875,1.948497263689286
428,0.21875,2.074726558572909
429,0.125,2.031416942976317
430,0.21875,1.6386928028821965
431,0.25,1.841364168583494
432,0.1875,2.0875391333673616
433,0.28125,1.464290060620393
434,0.21875,1.581678247874772
435,0.15625,2.130718151183956
436,0.15625,1.8392870437529458
437,0.0625,2.3335101045125404
438,0.28125,2.2756193663574598
439,0.21875,1.614590606699863
440,0.15625,1.9505743885198343
441,0.1875,1.7702179311030264
442,0.15625,1.9767931390569335
443,0.1875,2.0011349675164976
444,0.1875,1.8938661913591177
445,0.15625,1.9040080243040194
446,0.15625,2.2227560972848437
447,0.09375,1.961792595004428
448,0.1875,1.486704986330033
449,0.125,1.8879678591984352
450,0.0625,2.107390512104903
451,0.25,1.5766779783954046
452,0.125,2.13128844246063
453,0.15625,2.062354283050025
454,0.21875,1.9672187721274168
455,0.25,2.04952234643212
456,0.1875,1.6093744624383763
457,0.09375,2.588993915177806
458,0.3125,1.5698577592032454
459,0.25,1.7355905344160893
460,0.21875,1.840846249888286
461,0.09375,2.0522165194909325
462,0.21875,2.0666220384093568
463,0.28125,1.8531567846898631
464,0.15625,1.963435926680785
465,0.15625,2.0717244422053684
466,0.15625,1.6129393953588538
467,0.1875,1.8760152933014145
468,0.1875,1.909026016181971
469,0.21875,1.6753381444906192
470,0.15625,1.9834584853321937
471,0.28125,1.4889581721028413
472,0.1875,2.273447043983595
473,0.21875,2.070024474878594
474,0.1875,1.9050795805104408
475,0.125,2.2436312497751043
476,0.15625,2.15251167700644
477,0.25,1.704952650955724
478,0.21875,2.2177564325653027
479,0.25,1.8241111608556708
480,0.15625,2.0011641011818297
481,0.15625,2.159018431494634
482,0.21875,2.2589423678006693
483,0.25,1.9237851034751228
484,0.15625,1.9973606700974331
485,0.25,2.417470997854096
486,0.1875,1.9772760475871785
487,0.15625,1.9762563863886218
488,0.1875,1.4067712017685303
489,0.15625,1.8242898800239014
490,0.125,1.6314704061598728
491,0.125,1.9462588838523596
492,0.1875,2.0986564350620274
493,0.0625,1.9954337905689878
494,0.125,1.6665220009254806
495,0.09375,2.3088701284531017
