candidate_id,structure_id,is_representative
arc_0512,structure_0523,1
arc_1133,structure_0524,1
arc_0298,structure_0525,1
arc_0965,structure_0526,1
arc_0222,structure_0527,1
arc_0782,structure_0528,1
arc_0398,structure_0529,1
arc_0358,structure_0530,1
arc_0330,structure_0531,1
arc_1097,structure_0532,1
arc_0191,structure_0533,1
arc_0529,structure_0534,1
arc_0088,structure_0535,1
arc_0627,structure_0536,1
arc_1028,structure_0537,1
arc_1172,structure_0538,1
arc_0080,structure_0539,1
arc_0538,structure_0540,1
arc_0018,structure_0541,1
arc_0503,structure_0542,1
arc_0024,structure_0543,1
arc_1046,structure_0544,1
arc_0368,structure_0545,1
arc_0604,structure_0546,1
arc_1117,structure_0547,1
arc_0079,structure_0548,1
arc_1139,structure_0549,1
arc_0759,structure_0550,1
arc_0973,structure_0551,1
arc_0508,structure_0552,1
arc_1033,structure_0553,1
arc_0146,structure_0554,1
arc_0169,structure_0555,1
arc_1049,structure_0556,1
arc_1249,structure_0557,1
arc_0386,structure_0558,1
arc_0566,structure_0559,1
arc_1293,structure_0560,1
arc_0059,structure_0561,1
arc_0338,structure_0562,1
arc_1317,structure_0563,1
arc_0621,structure_0564,1
arc_0678,structure_0565,1
arc_0967,structure_0566,1
arc_0836,structure_0567,1
arc_0692,structure_0568,1
arc_0335,structure_0569,1
arc_1308,structure_0570,1
arc_0590,structure_0571,1
arc_0161,structure_0572,1
arc_0867,structure_0573,1
arc_0464,structure_0574,1
arc_1029,structure_0575,1
arc_0084,structure_0576,1
arc_1135,structure_0577,1
arc_0843,structure_0578,1
arc_0478,structure_0579,1
arc_0391,structure_0580,1
arc_1050,structure_0581,1
arc_0129,structure_0582,1
arc_0970,structure_0583,1
arc_0808,structure_0584,1
arc_0167,structure_0585,1
arc_1307,structure_0586,1
arc_0530,structure_0587,1
arc_1316,structure_0588,1
arc_0580,structure_0589,1
arc_1020,structure_0590,1
arc_0401,structure_0591,1
arc_0264,structure_0592,1
arc_0450,structure_0593,1
arc_0331,structure_0594,1
arc_0561,structure_0595,1
arc_0539,structure_0596,1
arc_1314,structure_0597,1
arc_1199,structure_0598,1
arc_0644,structure_0599,1
arc_0883,structure_0600,1
arc_0898,structure_0601,1
arc_0144,structure_0602,1
arc_0786,structure_0603,1
arc_0377,structure_0604,1
arc_0669,structure_0605,1
arc_0109,structure_0606,1
arc_0163,structure_0607,1
arc_0993,structure_0608,1
arc_0193,structure_0609,1
arc_0452,structure_0610,1
arc_0702,structure_0611,1
arc_0890,structure_0612,1
arc_0900,structure_0613,1
arc_1217,structure_0614,1
arc_0075,structure_0615,1
arc_0798,structure_0616,1
arc_0671,structure_0617,1
arc_1106,structure_0618,1
arc_0995,structure_0619,1
arc_0334,structure_0620,1
arc_0850,structure_0621,1
arc_1147,structure_0622,1
arc_0543,structure_0623,1
arc_1101,structure_0624,1
arc_0105,structure_0625,1
arc_1015,structure_0626,1
arc_0918,structure_0627,1
arc_0712,structure_0628,1
arc_0266,structure_0629,1
arc_1275,structure_0630,1
arc_0944,structure_0631,1
arc_1009,structure_0632,1
arc_1156,structure_0633,1
arc_0811,structure_0634,1
arc_1207,structure_0635,1
arc_0220,structure_0636,1
arc_1223,structure_0637,1
arc_0465,structure_0638,1
arc_1176,structure_0639,1
arc_0340,structure_0640,1
arc_0332,structure_0640,0
arc_0290,structure_0641,1
arc_0268,structure_0642,1
arc_0355,structure_0643,1
arc_0446,structure_0644,1
arc_0064,structure_0645,1
arc_0198,structure_0646,1
arc_0175,structure_0647,1
arc_0862,structure_0648,1
arc_0863,structure_0648,0
arc_0092,structure_0649,1
arc_1170,structure_0650,1
arc_1109,structure_0651,1
arc_0240,structure_0652,1
arc_0021,structure_0653,1
arc_0053,structure_0654,1
arc_0359,structure_0655,1
arc_1218,structure_0656,1
arc_0928,structure_0657,1
arc_0448,structure_0658,1
arc_0010,structure_0659,1
arc_0609,structure_0660,1
arc_0245,structure_0661,1
arc_0246,structure_0661,0
arc_0829,structure_0662,1
arc_0485,structure_0663,1
arc_1082,structure_0664,1
arc_0812,structure_0665,1
arc_1278,structure_0666,1
arc_0189,structure_0667,1
arc_1129,structure_0668,1
arc_0357,structure_0669,1
arc_1299,structure_0670,1
arc_0214,structure_0671,1
arc_0534,structure_0672,1
arc_0891,structure_0673,1
arc_0463,structure_0674,1
arc_0952,structure_0675,1
arc_0234,structure_0676,1
arc_0230,structure_0677,1
arc_0556,structure_0678,1
arc_0675,structure_0679,1
arc_0116,structure_0680,1
arc_1191,structure_0681,1
arc_1070,structure_0682,1
arc_0196,structure_0683,1
arc_0098,structure_0684,1
arc_0751,structure_0685,1
arc_0100,structure_0686,1
arc_1134,structure_0687,1
arc_0523,structure_0688,1
arc_0535,structure_0689,1
arc_0643,structure_0690,1
arc_0531,structure_0691,1
arc_0638,structure_0692,1
arc_1114,structure_0693,1
arc_0661,structure_0694,1
arc_0457,structure_0695,1
arc_0011,structure_0696,1
arc_0476,structure_0697,1
arc_0721,structure_0698,1
arc_1048,structure_0699,1
arc_1194,structure_0700,1
arc_0489,structure_0701,1
arc_0714,structure_0702,1
arc_0927,structure_0703,1
arc_0125,structure_0704,1
arc_1265,structure_0705,1
arc_0076,structure_0706,1
arc_0819,structure_0707,1
arc_0997,structure_0708,1
arc_1286,structure_0709,1
arc_0939,structure_0710,1
arc_1230,structure_0711,1
arc_0226,structure_0712,1
arc_0727,structure_0713,1
arc_1159,structure_0714,1
arc_0882,structure_0715,1
arc_0233,structure_0716,1
arc_0722,structure_0717,1
arc_0837,structure_0718,1
arc_0552,structure_0719,1
arc_1087,structure_0720,1
arc_0410,structure_0721,1
arc_1032,structure_0722,1
arc_0430,structure_0723,1
arc_0822,structure_0724,1
arc_0364,structure_0725,1
arc_0449,structure_0726,1
arc_1041,structure_0727,1
arc_1212,structure_0728,1
arc_1268,structure_0729,1
arc_0794,structure_0730,1
arc_0413,structure_0731,1
arc_0541,structure_0732,1
arc_1090,structure_0733,1
arc_0750,structure_0734,1
arc_0181,structure_0735,1
arc_0180,structure_0735,0
arc_0499,structure_0736,1
arc_0097,structure_0737,1
arc_0089,structure_0738,1
arc_1149,structure_0739,1
arc_0012,structure_0740,1
arc_0417,structure_0741,1
arc_0827,structure_0742,1
arc_0150,structure_0743,1
arc_1281,structure_0744,1
arc_0923,structure_0745,1
arc_0396,structure_0746,1
arc_0659,structure_0747,1
arc_0081,structure_0748,1
arc_0202,structure_0749,1
arc_0418,structure_0750,1
arc_1252,structure_0751,1
arc_0972,structure_0752,1
arc_0496,structure_0753,1
arc_0039,structure_0754,1
arc_0474,structure_0755,1
arc_0362,structure_0756,1
arc_0599,structure_0757,1
arc_0942,structure_0758,1
arc_0387,structure_0759,1
arc_1271,structure_0760,1
arc_0657,structure_0761,1
arc_0451,structure_0762,1
arc_0749,structure_0763,1
arc_0249,structure_0764,1
arc_1127,structure_0765,1
arc_0467,structure_0766,1
arc_0006,structure_0767,1
arc_0839,structure_0768,1
arc_1001,structure_0769,1
arc_0573,structure_0770,1
arc_0824,structure_0771,1
arc_0968,structure_0772,1
arc_1120,structure_0773,1
arc_0857,structure_0774,1
arc_0848,structure_0775,1
arc_0494,structure_0776,1
arc_0260,structure_0777,1
arc_0989,structure_0778,1
arc_1077,structure_0779,1
arc_1267,structure_0780,1
arc_0068,structure_0781,1
arc_0200,structure_0782,1
arc_0032,structure_0783,1
arc_0734,structure_0784,1
arc_1112,structure_0785,1
arc_1229,structure_0786,1
arc_0470,structure_0787,1
arc_1283,structure_0788,1
arc_0003,structure_0789,1
arc_0841,structure_0790,1
arc_1294,structure_0791,1
arc_0047,structure_0792,1
arc_1254,structure_0793,1
arc_1216,structure_0794,1
arc_0117,structure_0795,1
arc_1224,structure_0796,1
arc_0258,structure_0797,1
arc_0219,structure_0798,1
arc_1287,structure_0799,1
arc_1296,structure_0800,1
arc_0961,structure_0801,1
arc_0894,structure_0802,1
arc_1263,structure_0803,1
arc_0065,structure_0804,1
arc_0948,structure_0805,1
arc_0957,structure_0806,1
arc_0958,structure_0806,0
arc_0879,structure_0807,1
arc_1024,structure_0808,1
arc_0348,structure_0809,1
arc_1130,structure_0810,1
arc_0520,structure_0811,1
arc_0108,structure_0812,1
arc_0810,structure_0813,1
arc_0676,structure_0814,1
arc_0517,structure_0815,1
arc_0382,structure_0816,1
arc_0658,structure_0817,1
arc_0545,structure_0818,1
arc_0427,structure_0819,1
arc_0133,structure_0820,1
arc_1277,structure_0821,1
arc_0201,structure_0822,1
arc_0165,structure_0823,1
arc_0168,structure_0824,1
arc_0017,structure_0825,1
arc_0388,structure_0826,1
arc_0350,structure_0827,1
arc_0014,structure_0828,1
arc_0711,structure_0829,1
arc_0280,structure_0830,1
arc_0224,structure_0831,1
arc_0936,structure_0832,1
arc_0776,structure_0833,1
arc_1188,structure_0834,1
arc_0069,structure_0835,1
arc_0564,structure_0836,1
arc_0996,structure_0837,1
arc_0617,structure_0838,1
arc_0393,structure_0839,1
arc_0363,structure_0840,1
arc_0454,structure_0841,1
arc_1247,structure_0842,1
arc_0930,structure_0843,1
arc_0525,structure_0844,1
arc_0689,structure_0845,1
arc_0579,structure_0846,1
arc_0971,structure_0847,1
arc_0153,structure_0848,1
arc_0295,structure_0849,1
arc_0051,structure_0850,1
arc_0009,structure_0851,1
arc_1118,structure_0852,1
arc_0190,structure_0853,1
arc_1080,structure_0854,1
arc_0229,structure_0855,1
arc_0905,structure_0856,1
arc_1243,structure_0857,1
arc_0596,structure_0858,1
arc_1232,structure_0859,1
arc_1186,structure_0860,1
arc_0241,structure_0861,1
arc_0772,structure_0862,1
arc_0842,structure_0863,1
arc_0509,structure_0864,1
arc_0033,structure_0865,1
arc_1051,structure_0866,1
arc_1274,structure_0867,1
arc_1062,structure_0868,1
arc_1311,structure_0869,1
arc_0809,structure_0870,1
arc_0294,structure_0871,1
arc_1219,structure_0872,1
arc_1096,structure_0873,1
arc_1059,structure_0874,1
arc_0066,structure_0875,1
arc_1125,structure_0876,1
arc_0549,structure_0877,1
arc_0406,structure_0878,1
arc_0637,structure_0879,1
arc_0909,structure_0880,1
arc_0872,structure_0881,1
arc_0360,structure_0882,1
arc_0691,structure_0883,1
arc_1021,structure_0884,1
arc_0524,structure_0885,1
arc_0236,structure_0886,1
arc_0409,structure_0887,1
arc_0975,structure_0888,1
arc_1200,structure_0889,1
arc_0700,structure_0890,1
arc_0893,structure_0891,1
arc_0624,structure_0892,1
arc_0123,structure_0893,1
arc_0504,structure_0894,1
arc_0086,structure_0895,1
arc_0826,structure_0896,1
arc_1010,structure_0897,1
arc_1155,structure_0898,1
arc_1184,structure_0899,1
arc_0784,structure_0900,1
arc_0060,structure_0901,1
arc_0583,structure_0902,1
arc_0742,structure_0903,1
arc_0694,structure_0904,1
arc_0964,structure_0905,1
arc_1084,structure_0906,1
arc_0653,structure_0907,1
arc_0664,structure_0908,1
arc_0733,structure_0909,1
arc_1131,structure_0910,1
arc_0548,structure_0911,1
arc_0345,structure_0912,1
arc_1122,structure_0913,1
arc_0925,structure_0914,1
arc_0984,structure_0915,1
arc_0731,structure_0916,1
arc_0205,structure_0917,1
arc_0690,structure_0918,1
arc_0620,structure_0919,1
arc_0557,structure_0920,1
arc_1058,structure_0921,1
arc_0814,structure_0922,1
arc_0656,structure_0923,1
arc_0615,structure_0924,1
arc_1215,structure_0925,1
arc_0197,structure_0926,1
arc_0924,structure_0927,1
arc_0339,structure_0928,1
arc_0104,structure_0929,1
arc_1002,structure_0930,1
arc_0642,structure_0931,1
arc_0870,structure_0932,1
arc_1298,structure_0933,1
arc_1085,structure_0934,1
arc_1086,structure_0934,0
arc_0943,structure_0935,1
arc_0730,structure_0936,1
arc_1288,structure_0937,1
arc_0616,structure_0938,1
arc_1189,structure_0939,1
arc_0681,structure_0940,1
arc_0572,structure_0941,1
arc_0297,structure_0942,1
arc_0293,structure_0942,0
arc_0696,structure_0943,1
arc_1146,structure_0944,1
arc_0143,structure_0945,1
arc_0937,structure_0946,1
arc_1145,structure_0947,1
arc_0553,structure_0948,1
arc_0569,structure_0948,0
arc_0571,structure_0949,1
arc_0414,structure_0950,1
arc_0881,structure_0951,1
arc_0641,structure_0952,1
arc_0804,structure_0953,1
arc_0381,structure_0954,1
arc_0008,structure_0955,1
arc_0096,structure_0956,1
arc_0244,structure_0957,1
arc_0663,structure_0958,1
arc_0477,structure_0959,1
arc_0124,structure_0960,1
arc_0497,structure_0961,1
arc_0456,structure_0962,1
arc_1027,structure_0963,1
arc_0114,structure_0964,1
arc_0838,structure_0965,1
arc_0736,structure_0966,1
arc_0519,structure_0967,1
arc_1305,structure_0968,1
arc_0242,structure_0969,1
arc_1258,structure_0970,1
arc_0365,structure_0971,1
arc_0253,structure_0972,1
arc_0581,structure_0973,1
