record_id,source_index,name,source,old_display_name,repaired_display_name,old_diameter_km,rendered_diameter_raw,repaired_diameter_km,diameter_changed,diameter_source_verified,coordinate_status,coordinate_source_distance_km,analytical_include,duplicate_of_record_id,duplicate_resolution_note
astro_0027,27,Deniliquin,Wikipedia possible impact structures,Deniliquin,Deniliquin,520.0,520,520.0,False,True,verified_within_5_km,0.00047787068190336757,True,,
astro_0028,28,Diamantina River ring feature,Wikipedia possible impact structures,Diamantina River ring feature: Winton crustal anomaly,Diamantina River ring feature,120.0,120,120.0,False,True,verified_within_5_km,0.0,True,,
astro_0029,29,Gnargoo,Wikipedia possible impact structures,Gnargoo,Gnargoo,75.0,75,75.0,False,True,verified_within_5_km,0.00043323442995074277,True,,
astro_0030,30,Gosses Bluff,Wikipedia confirmed impact structures,Gosses Bluff,Gosses Bluff,220.0,32,32.0,True,True,verified_within_5_km,0.03706502674476801,True,,
astro_0031,31,Lorne Basin,Wikipedia possible impact structures,Lorne Basin: Lorne,Lorne Basin,30.0,30,30.0,False,True,verified_within_5_km,0.0,True,,
astro_0032,32,Mulkarra,Wikipedia possible impact structures,Mulkarra,Mulkarra,17.0,17,17.0,False,True,verified_within_5_km,0.0,True,,
astro_0033,33,North Pole Crater,Wikipedia possible impact structures,North Pole Crater: North Pole,North Pole Crater,100.0,100,100.0,False,True,verified_within_5_km,0.000591701990497568,True,,
astro_0034,34,Shoemaker,Wikipedia confirmed impact structures,Shoemaker,Shoemaker,300.0,30,30.0,True,True,verified_within_5_km,0.04986119456560701,True,,
astro_0035,35,Strangways,Wikipedia confirmed impact structures,Strangways,Strangways,250.0,25,25.0,True,True,verified_within_5_km,0.035768362177694364,True,,
astro_0036,36,Tookoonooka,Wikipedia confirmed impact structures,Tookoonooka,Tookoonooka,66.0,66,66.0,False,True,verified_within_5_km,0.04962065139849341,True,,
astro_0037,37,Warburton East,Wikipedia possible impact structures,Warburton East: Warbuton,Warburton East,200.0,200,200.0,False,True,verified_within_5_km,0.0,True,,
